State	Zip	Utility_Provider
AR	72501	Entergy
AR	72416	Other
AR	72732	Carroll Electric Cooperative Corporation
AR	71635	Other
AR	72455	Other
AR	72761	Carroll Electric Cooperative Corporation
AR	71655	Entergy
AR	71953	Other
AR	72634	Entergy
AR	72058	Entergy
AR	72076	Entergy
AR	72143	Entergy
AR	71744	Other
AR	72631	Carroll Electric Cooperative Corporation
AR	72065	Entergy
AR	72855	Other
AR	72007	First Electric Cooperative
AR	72519	North Arkansas Electric Cooperative
AR	72936	Southwest Arkansas Electric Co-op
AR	72002	Entergy
AR	72466	North Arkansas Electric Cooperative
AR	72617	Entergy
AR	71845	Entergy
AR	72076	First Electric Cooperative
AR	71968	Entergy
AR	72103	Entergy
AR	72903	Other
AR	72529	North Arkansas Electric Cooperative
AR	72414	Entergy
AR	72051	Entergy
AR	72390	Entergy
AR	72205	Entergy
AR	72227	Entergy
AR	71854	Other
AR	72210	First Electric Cooperative
AR	72114	Entergy
AR	72704	Ozarks Electric Cooperative
AR	72628	Carroll Electric Cooperative Corporation
AR	72653	Entergy
AR	72756	Southwest Arkansas Electric Co-op
AR	72150	Entergy
AR	72921	Arkansas Valley Electric Cooperative
AR	71909	First Electric Cooperative
AR	72209	Entergy
AR	71602	Entergy
AR	71770	Entergy
AR	71652	Entergy
AR	72160	Entergy
AR	72422	Entergy
AR	72368	Entergy
AR	72764	Carroll Electric Cooperative Corporation
AR	72455	Entergy
AR	72715	Carroll Electric Cooperative Corporation
AR	72031	Petit Jean Electric Cooperative
AR	71861	Entergy
AR	72740	Carroll Electric Cooperative Corporation
AR	72335	Other
AR	72015	First Electric Cooperative
AR	72701	Ozarks Electric Cooperative
AR	72434	Entergy
AR	72211	Entergy
AR	71923	Southwest Arkansas Electric Co-op
AR	72653	North Arkansas Electric Cooperative
AR	72023	Entergy
AR	72542	Entergy
AR	72837	Arkansas Valley Electric Cooperative
AR	72735	Ozarks Electric Cooperative
AR	72756	Carroll Electric Cooperative Corporation
AR	71836	Southwest Arkansas Electric Co-op
AR	71630	Entergy
AR	72415	Other
AR	72459	Entergy
AR	72443	Entergy
AR	72848	Entergy
AR	72020	Entergy
AR	72542	North Arkansas Electric Cooperative
AR	72762	Ozarks Electric Cooperative
AR	72712	Other
AR	72454	Other
AR	72121	First Electric Cooperative
AR	71646	Entergy
AR	72638	Carroll Electric Cooperative Corporation
AR	72032	Entergy
AR	72830	Other
AR	72847	Entergy
AR	71921	Southwest Arkansas Electric Co-op
AR	72758	Southwest Arkansas Electric Co-op
AR	72626	North Arkansas Electric Cooperative
AR	72387	Entergy
AR	71660	C and L Electric Co-Op Corporation
AR	72204	Entergy
AR	72959	Ozarks Electric Cooperative
AR	72629	Petit Jean Electric Cooperative
AR	72376	Entergy
AR	72443	Paragould Light Water and Cable (PLWC)
AR	72639	Petit Jean Electric Cooperative
AR	71742	Entergy
AR	71973	Southwest Arkansas Electric Co-op
AR	72762	Other
AR	72956	Other
AR	72039	Entergy
AR	72717	Ozarks Electric Cooperative
AR	72830	Arkansas Valley Electric Cooperative
AR	72941	Arkansas Valley Electric Cooperative
AR	71822	Southwest Arkansas Electric Co-op
AR	72206	First Electric Cooperative
AR	71701	Other
AR	72543	Entergy
AR	72932	Arkansas Valley Electric Cooperative
AR	72722	Other
AR	72949	Arkansas Valley Electric Cooperative
AR	72223	Entergy
AR	72675	Entergy
AR	71921	Entergy
AR	71842	Southwest Arkansas Electric Co-op
AR	71858	Southwest Arkansas Electric Co-op
AR	72624	Carroll Electric Cooperative Corporation
AR	71937	Other
AR	72908	Arkansas Valley Electric Cooperative
AR	72019	First Electric Cooperative
AR	72444	C and L Electric Co-Op Corporation
AR	72648	Carroll Electric Cooperative Corporation
AR	72936	Arkansas Valley Electric Cooperative
AR	71933	Entergy
AR	71940	Southwest Arkansas Electric Co-op
AR	72576	North Arkansas Electric Cooperative
AR	71730	Entergy
AR	71822	Other
AR	72703	Ozarks Electric Cooperative
AR	72153	Petit Jean Electric Cooperative
AR	72632	Carroll Electric Cooperative Corporation
AR	71647	C and L Electric Co-Op Corporation
AR	72543	First Electric Cooperative
AR	72142	Entergy
AR	72952	Arkansas Valley Electric Cooperative
AR	72120	First Electric Cooperative
AR	71765	Entergy
AR	72401	Entergy
AR	85706	Tucson Electric Power
AR	72354	Entergy
AR	72019	Other
AR	71825	Southwest Arkansas Electric Co-op
AR	72958	Arkansas Valley Electric Cooperative
AR	72450	Paragould Light Water and Cable (PLWC)
AR	72524	Entergy
AR	72761	Other
AR	72040	Entergy
AR	85209	Salt River Project
AR	85310	Arizona Public Service
AR	72711	Southwest Arkansas Electric Co-op
AR	72212	Entergy
AR	86322	Arizona Public Service
AR	72573	Entergy
AR	72853	Entergy
AR	72744	Ozarks Electric Cooperative
AR	71726	Entergy
AR	72473	Entergy
AR	71835	Entergy
AR	72479	Other
AR	72460	Other
AR	72112	Entergy
AR	72677	Entergy
AR	72103	First Electric Cooperative
AR	72554	North Arkansas Electric Cooperative
AR	72005	Other
AR	72335	Entergy
AR	72650	Petit Jean Electric Cooperative
AR	71929	Entergy
AR	72837	Entergy
AR	85711	Tucson Electric Power
AR	72067	First Electric Cooperative
AR	72751	Carroll Electric Cooperative Corporation
AR	85042	Salt River Project
AR	72530	First Electric Cooperative
AR	72081	First Electric Cooperative
AR	71832	Southwest Arkansas Electric Co-op
AR	72644	Entergy
AR	71852	Southwest Arkansas Electric Co-op
AR	72687	Entergy
AR	72774	Carroll Electric Cooperative Corporation
AR	85383	Arizona Public Service
AR	72301	Entergy
AR	71827	Entergy
AR	72846	Other
AR	72210	Entergy
AR	72027	Petit Jean Electric Cooperative
AR	72011	First Electric Cooperative
AR	72114	North Little Rock Electric
AR	71851	Southwest Arkansas Electric Co-op
AR	71952	Southwest Arkansas Electric Co-op
AR	72666	Carroll Electric Cooperative Corporation
AR	71837	Southwest Arkansas Electric Co-op
AR	72947	Arkansas Valley Electric Cooperative
AR	72106	Entergy
AR	72901	Other
AR	72758	Carroll Electric Cooperative Corporation
AR	72662	Entergy
AR	72565	North Arkansas Electric Cooperative
AR	71846	Southwest Arkansas Electric Co-op
AR	72715	Arkansas Valley Elec Coop Corp
AR	85143	Other
AR	71860	Entergy
AR	62946	Other
AR	71653	Entergy
AR	63730	Other
AR	72523	First Electric Cooperative
AR	70611	Entergy
AR	71647	Other
AR	39402	Other
AR	39773	Other
AR	10001	Central Hudson Gas & Electric
AR	72529	Entergy Arkansas Inc
AR	28312	South River Electric Cooperative
AR	72927	Southwest Arkansas Electric Co-op
AR	72482	North Arkansas Electric Cooperative
AR	72087	Entergy
AR	72940	Southwest Arkansas Electric Co-op
AR	64492	Kansas City Power & Light
AR	71655	C and L Electric Co-Op Corporation
AR	72564	Other
AR	72851	Arkansas Valley Electric Cooperative
AR	72730	Southwest Arkansas Electric Co-op
AR	32725	Duke Energy
AR	72661	North Arkansas Electric Cooperative
AR	32244	JEA
AR	32246	JEA
AZ	86401	UniSource Energy Services
AZ	86442	Mojave Electric Cooperative
AZ	85194	Other
AZ	85365	Arizona Public Service
AZ	85335	Arizona Public Service
AZ	85736	Trico Electric Cooperative
AZ	86440	Mojave Electric Cooperative
AZ	85741	Arizona Public Service
AZ	85208	Salt River Project
AZ	85022	Other
AZ	85349	Arizona Public Service
AZ	85009	Arizona Public Service
AZ	85037	Salt River Project
AZ	85747	Tucson Electric Power
AZ	85742	Tucson Electric Power
AZ	85648	UniSource Energy Services
AZ	85939	Arizona Public Service
AZ	85210	Salt River Project
AZ	85017	Other
AZ	85323	Salt River Project
AZ	86427	Other
AZ	85006	Arizona Public Service
AZ	86409	UniSource Energy Services
AZ	85621	UniSource Energy Services
AZ	85043	Salt River Project
AZ	85295	Salt River Project
AZ	85034	Arizona Public Service
AZ	86441	UniSource Energy Services
AZ	85283	Salt River Project
AZ	85643	Sulphur Springs Valley Electric Cooperative
AZ	85750	Tucson Electric Power
AZ	85718	Tucson Electric Power
AZ	85364	Arizona Public Service
AZ	85035	Arizona Public Service
AZ	85629	Tucson Electric Power
AZ	85635	Other
AZ	85032	Arizona Public Service
AZ	86303	Arizona Public Service
AZ	85248	Salt River Project
AZ	85706	Tucson Electric Power
AZ	85730	Tucson Electric Power
AZ	85614	Tucson Electric Power
AZ	85282	Salt River Project
AZ	85746	Tucson Electric Power
AZ	86406	UniSource Energy Services
AZ	85021	Arizona Public Service
AZ	85653	Trico Electric Cooperative
AZ	85351	Arizona Public Service
AZ	85387	Arizona Public Service
AZ	86505	Other
AZ	85204	Salt River Project
AZ	85548	Graham County Utilities
AZ	85249	Salt River Project
AZ	85546	City of Safford Electric Department
AZ	85008	Salt River Project
AZ	85142	Salt River Project
AZ	85203	Salt River Project
AZ	86426	Mojave Electric Cooperative
AZ	86314	Arizona Public Service
AZ	85351	Other
AZ	85202	Salt River Project
AZ	85012	Arizona Public Service
AZ	86326	Arizona Public Service
AZ	86336	Arizona Public Service
AZ	85140	Salt River Project
AZ	85321	Arizona Public Service
AZ	85374	Arizona Public Service
AZ	85041	Salt River Project
AZ	85379	Other
AZ	85539	Arizona Public Service
AZ	85941	Navopache Electric Cooperative
AZ	85224	Salt River Project
AZ	85743	Tucson Electric Power
AZ	85326	Arizona Public Service
AZ	85632	Sulphur Springs Valley Electric Cooperative
AZ	85205	Salt River Project
AZ	85658	Trico Electric Cooperative
AZ	86423	UniSource Energy Services
AZ	85614	Trico Electric Cooperative
AZ	85344	Arizona Public Service
AZ	85756	Tucson Electric Power
AZ	85607	Sulphur Springs Valley Electric Cooperative
AZ	85367	Arizona Public Service
AZ	85306	Arizona Public Service
AZ	85212	City of Mesa Utilities
AZ	86335	Arizona Public Service
AZ	86515	Other
AZ	85301	Arizona Public Service
AZ	85650	Sulphur Springs Valley Electric Cooperative
AZ	85139	Electrical District No. 3
AZ	85757	Trico Electric Cooperative
AZ	85033	Salt River Project
AZ	85282	Graham County Utilities
AZ	85624	Other
AZ	86305	Arizona Public Service
AZ	86429	Mojave Electric Cooperative
AZ	85929	Navopache Electric Cooperative
AZ	85019	Salt River Project
AZ	85225	Salt River Project
AZ	85739	Trico Electric Cooperative
AZ	85008	Arizona Public Service
AZ	85016	Salt River Project
AZ	85743	Trico Electric Cooperative
AZ	85043	Arizona Public Service
AZ	85035	Salt River Project
AZ	85713	Arizona Public Service
AZ	85282	Arizona Public Service
AZ	85262	Arizona Public Service
AZ	85086	Arizona Public Service
AZ	85936	Navopache Electric Cooperative
AZ	86426	UniSource Energy Services
AZ	86442	Other
AZ	85258	Arizona Public Service
AZ	85711	Tucson Electric Power
AZ	85375	Arizona Public Service
AZ	85546	Graham County Utilities
AZ	85201	Salt River Project
AZ	85712	Tucson Electric Power
AZ	85203	City of Mesa Utilities
AZ	85603	Arizona Public Service
AZ	85635	Sulphur Springs Valley Electric Cooperative
AZ	85383	Arizona Public Service
AZ	85625	Sulphur Springs Valley Electric Cooperative
AZ	85031	Salt River Project
AZ	86334	Arizona Public Service
AZ	86413	Other
AZ	85924	Navopache Electric Cooperative
AZ	85138	Electrical District No. 3
AZ	85213	Salt River Project
AZ	85938	Navopache Electric Cooperative
AZ	85226	Salt River Project
AZ	85251	Salt River Project
AZ	85735	Trico Electric Cooperative
AZ	85745	Tucson Electric Power
AZ	85607	Arizona Public Service
AZ	85710	Tucson Electric Power
AZ	86015	Arizona Public Service
AZ	85040	Salt River Project
AZ	85329	Salt River Project
AZ	85045	Salt River Project
AZ	86504	Other
AZ	86413	UniSource Energy Services
AZ	85209	Salt River Project
AZ	86324	Arizona Public Service
AZ	85303	Salt River Project
AZ	85715	Tucson Electric Power
AZ	85037	Other
AZ	85713	Tucson Electric Power
AZ	85705	Tucson Electric Power
AZ	85616	Sulphur Springs Valley Electric Cooperative
AZ	85128	Electrical District No. 2
AZ	85285	Salt River Project
AZ	85310	Arizona Public Service
AZ	85206	Salt River Project
AZ	85302	Salt River Project
AZ	85041	Other
AZ	85119	Salt River Project
AZ	86432	Other
AZ	85901	Arizona Public Service
AZ	85541	Arizona Public Service
AZ	85533	Other
AZ	85739	Tucson Electric Power
AZ	85350	Arizona Public Service
AZ	85901	Navopache Electric Cooperative
AZ	85143	Salt River Project
AZ	85377	Arizona Public Service
AZ	85262	Salt River Project
AZ	85617	Sulphur Springs Valley Electric Cooperative
AZ	85602	Sulphur Springs Valley Electric Cooperative
AZ	85132	Salt River Project
AZ	85020	Arizona Public Service
AZ	85083	Arizona Public Service
AZ	85132	Arizona Public Service
AZ	85048	Arizona Public Service
AZ	85035	Other
AZ	85042	Salt River Project
AZ	86401	Mojave Electric Cooperative
AZ	85346	Arizona Public Service
AZ	85924	Mojave Electric Cooperative
AZ	85304	Salt River Project
AZ	85029	Arizona Public Service
AZ	85207	Salt River Project
AZ	85207	Other
AZ	85610	Sulphur Springs Valley Electric Cooperative
AZ	85749	Tucson Electric Power
AZ	85379	Arizona Public Service
AZ	85009	Other
AZ	85017	Arizona Public Service
AZ	85286	Other
AZ	85225	Arizona Public Service
AZ	85324	Arizona Public Service
AZ	85210	City of Mesa Utilities
AZ	85132	Other
AZ	86001	Arizona Public Service
AZ	85320	Arizona Public Service
AZ	85757	Tucson Electric Power
AZ	86047	Arizona Public Service
AZ	85024	Arizona Public Service
AZ	58616	Central Power Electric Cooperative
AZ	85396	Arizona Public Service
AZ	86403	UniSource Energy Services
AZ	85308	Arizona Public Service
AZ	85122	Arizona Public Service
AZ	86315	Arizona Public Service
AZ	85381	Salt River Project
AZ	86315	Other
AZ	85051	Arizona Public Service
AZ	86436	Mojave Electric Cooperative
AZ	85215	Salt River Project
AZ	85646	UniSource Energy Services
AZ	85716	Arizona Public Service
AZ	85017	Salt River Project
AZ	85298	Salt River Project
AZ	85388	Arizona Public Service
AZ	85621	Arizona Public Service
AZ	86323	Arizona Public Service
AZ	85194	Electrical District No. 2
AZ	85260	Arizona Public Service
AZ	85257	Salt River Project
AZ	85364	Other
AZ	85749	Other
AZ	85207	City of Mesa Utilities
AZ	85250	Salt River Project
AZ	86004	Arizona Public Service
AZ	85286	Salt River Project
AZ	85937	Arizona Public Service
AZ	85044	Salt River Project
AZ	85033	Arizona Public Service
AZ	85543	Graham County Utilities
AZ	85016	Arizona Public Service
AZ	85640	UniSource Energy Services
AZ	85737	Tucson Electric Power
AZ	85118	Salt River Project
AZ	85043	Other
AZ	86404	UniSource Energy Services
AZ	85193	Other
AZ	86325	Other
AZ	85638	Sulphur Springs Valley Electric Cooperative
AZ	85322	Arizona Public Service
AZ	85131	Arizona Public Service
AZ	85087	Arizona Public Service
AZ	85395	Arizona Public Service
AZ	86333	Arizona Public Service
AZ	85631	Arizona Public Service
AZ	85719	Tucson Electric Power
AZ	85120	Salt River Project
AZ	85321	Other
AZ	86320	Arizona Public Service
AZ	85618	Arizona Public Service
AZ	85645	Tucson Electric Power
AZ	85303	Other
AZ	85254	Arizona Public Service
AZ	85714	Tucson Electric Power
AZ	85622	Tucson Electric Power
AZ	85050	Arizona Public Service
AZ	85209	City of Mesa Utilities
AZ	85297	Salt River Project
AZ	85716	Tucson Electric Power
AZ	85123	Arizona Public Service
AZ	85031	Arizona Public Service
AZ	85331	Arizona Public Service
AZ	85325	Arizona Public Service
AZ	85501	Arizona Public Service
AZ	85044	Other
AZ	85382	Arizona Public Service
AZ	85615	Arizona Public Service
AZ	85735	Tucson Electric Power
AZ	86040	Other
AZ	85042	Arizona Public Service
AZ	85544	Arizona Public Service
AZ	86045	Other
AZ	85630	Sulphur Springs Valley Electric Cooperative
AZ	86404	Other
AZ	85353	Salt River Project
AZ	85201	City of Mesa Utilities
AZ	85143	Arizona Public Service
AZ	85383	Salt River Project
AZ	85353	Other
AZ	85304	Arizona Public Service
AZ	85746	Trico Electric Cooperative
AZ	85641	Tucson Electric Power
AZ	85323	Other
AZ	85138	Other
AZ	85737	Other
AZ	86301	Arizona Public Service
AZ	85373	Arizona Public Service
AZ	85209	Other
AZ	85007	Arizona Public Service
AZ	85212	Salt River Project
AZ	85118	Other
AZ	86514	Other
AZ	85023	Arizona Public Service
AZ	85345	Arizona Public Service
AZ	85268	Salt River Project
AZ	85748	Tucson Electric Power
AZ	85206	Other
AZ	86322	Arizona Public Service
AZ	85014	Arizona Public Service
AZ	86401	Other
AZ	85051	Salt River Project
AZ	85220	Salt River Project
AZ	85705	Other
AZ	85255	Arizona Public Service
AZ	85755	Tucson Electric Power
AZ	85739	Other
AZ	85365	Other
AZ	85641	Trico Electric Cooperative
AZ	86047	Other
AZ	85128	Arizona Public Service
AZ	86327	Arizona Public Service
AZ	85301	Salt River Project
AZ	85704	Tucson Electric Power
AZ	85051	Other
AZ	86325	Arizona Public Service
AZ	85701	Tucson Electric Power
AZ	85284	Salt River Project
AZ	85638	Other
AZ	85042	Other
AZ	85624	Sulphur Springs Valley Electric Cooperative
AZ	86323	Other
AZ	85361	Arizona Public Service
AZ	85234	Salt River Project
AZ	85022	Arizona Public Service
AZ	85629	Trico Electric Cooperative
AZ	85618	Other
AZ	85142	Other
AZ	85249	Other
AZ	85018	Salt River Project
AZ	86327	Other
AZ	85322	Other
AZ	85345	Salt River Project
AZ	85338	Arizona Public Service
AZ	85637	Sulphur Springs Valley Electric Cooperative
AZ	86431	UniSource Energy Services
AZ	85253	Arizona Public Service
AZ	85736	Other
AZ	85653	Tucson Electric Power
AZ	85259	Arizona Public Service
AZ	85305	Arizona Public Service
AZ	85302	Arizona Public Service
AZ	85281	Salt River Project
AZ	85015	Arizona Public Service
AZ	85021	Salt River Project
AZ	85392	Salt River Project
AZ	85332	Arizona Public Service
AZ	85932	Navopache Electric Cooperative
AZ	85367	Southwest Gas Corporation
AZ	85746	UniSource Energy Services
AZ	85013	Arizona Public Service
AZ	86403	Other
AZ	85352	Salt River Project
AZ	85033	Other
AZ	85602	Other
AZ	85637	Tucson Electric Power
AZ	85339	Salt River Project
AZ	85730	Arizona Public Service
AZ	85356	Other
AZ	85355	Arizona Public Service
AZ	85205	City of Mesa Utilities
AZ	85296	Salt River Project
AZ	85606	Sulphur Springs Valley Electric Cooperative
AZ	86438	Other
AZ	85251	Other
AZ	85131	Other
AZ	85360	Mojave Electric Cooperative
AZ	86046	Arizona Public Service
AZ	86033	Other
AZ	86406	Arizona Public Service
AZ	85310	Salt River Project
AZ	85390	Arizona Public Service
AZ	85145	Arizona Public Service
AZ	85345	Other
AZ	85028	Arizona Public Service
AZ	85281	Arizona Public Service
AZ	85225	Southwest Gas Corporation
AZ	85620	Arizona Public Service
AZ	85053	Arizona Public Service
AZ	85349	Other
AZ	85122	Salt River Project
AZ	85307	Salt River Project
AZ	85257	Other
AZ	85212	Arizona Public Service
AZ	85747	Southwest Gas Corporation
AZ	86045	Arizona Public Service
AZ	86046	Other
AZ	85635	Southwest Gas Corporation
AZ	85375	Other
AZ	85040	Arizona Public Service
AZ	86441	Arizona Public Service
AZ	85212	Southwest Gas Corporation
AZ	85940	Navopache Electric Cooperative
AZ	85350	Other
AZ	85742	Trico Electric Cooperative
AZ	85233	Salt River Project
AZ	85705	Arizona Public Service
AZ	85706	Other
AZ	85648	Arizona Public Service
AZ	85120	Other
AZ	86404	Tucson Electric Power
AZ	85128	Other
AZ	58132	Other
AZ	85378	Other
AZ	85935	Navopache Electric Cooperative
AZ	85194	Hohokam Irrigation and Drainage District
AZ	85352	Arizona Public Service
AZ	85626	Arizona Public Service
AZ	85048	Salt River Project
AZ	85607	Other
AZ	85251	Arizona Public Service
AZ	85123	Electrical District No. 3
AZ	85381	Arizona Public Service
AZ	85343	Arizona Public Service
AZ	85392	Arizona Public Service
AZ	85015	Salt River Project
AZ	86545	Other
AZ	85027	Arizona Public Service
AZ	85643	Duncan Valley Electric Cooperative
AZ	85554	Arizona Public Service
AZ	85367	Other
AZ	85741	Tucson Electric Power
AZ	85305	Salt River Project
AZ	85031	Southwest Gas Corporation
AZ	85323	Arizona Public Service
AZ	85361	Other
AZ	85037	Arizona Public Service
AZ	85340	Arizona Public Service
AZ	85018	Arizona Public Service
AZ	85933	Navopache Electric Cooperative
AZ	85714	Other
AZ	85286	Southwest Gas Corporation
AZ	85132	Hohokam Irrigation and Drainage District
AZ	86016	Salt River Project
AZ	85912	Arizona Public Service
AZ	86017	Arizona Public Service
AZ	86444	Other
AZ	85215	Arizona Public Service
AZ	85210	Other
AZ	85378	Arizona Public Service
AZ	85205	Other
AZ	85635	Arizona Public Service
AZ	85029	Other
AZ	85008	Other
AZ	86440	UniSource Energy Services
AZ	86022	Other
AZ	85263	Salt River Project
AZ	85303	Arizona Public Service
AZ	86042	Arizona Public Service
AZ	85085	Arizona Public Service
AZ	86436	Other
